seq;timestamp;data
39;1747216886.713106;0.607439 -1.311227 1.587624 -0.590833 0.146642 0.152155 -0.254763 0.274102 -0.219794 -0.118614 0.008379 -0.052452 -0.042482 -0.000935 -0.010352 -1.338838 -1.100812 -1.449631 -0.507915 -0.590761 0.345218 0.326777 -0.092344 -0.047358 0.053280 -0.096478 -0.047199 0.034357 -0.043000 0.028383
40;1747216886.899811;9491.814453 -40945.585938 -12991.825195 -29031.771484 -16751.121094 -20450.533203 -20584.636719 -17380.791016 -14287.297852 -10104.212891 -3487.175781 -561.931458 1144.524780 1654.968384 3539.266113 -11940.272461 -12361.705078 7052.701172 -10431.234375 -9088.409180 -5103.576660 -7783.094727 -11306.521484 -13289.691406 -10847.041016 -12338.176758 -10382.207031 -7851.503906 -5284.158203 -2248.585693
41;1747216887.078445;-8339.797852 -16209.639648 -36790.421875 -24285.505859 -27668.958984 -22316.650391 -24322.017578 -18864.800781 -22628.673828 -12335.813477 -6309.522949 -2212.459473 2864.195312 2827.709717 5888.942871 17912.205078 1741.734375 -10124.264648 -427.172974 -3355.796631 -9530.001953 -8532.369141 -12468.046875 -15521.433594 -14822.495117 -17190.539062 -13890.353516 -12342.406250 -8182.061035 -4545.608398
42;1747216887.257156;-36844.527344 -14227.587891 -22264.201172 -19919.044922 -23372.007812 -19443.914062 -20488.808594 -19386.052734 -17450.750000 -11274.862305 -9062.858398 -4040.804199 1660.345337 4563.798340 6392.177246 957.942810 1978.206055 -4766.075684 1169.653931 -3816.525879 -5436.553223 -6314.187988 -11719.097656 -9610.821289 -15769.922852 -15276.439453 -14705.260742 -11808.997070 -9236.842773 -4704.138672
43;1747216887.443707;-26245.730469 -32092.507812 -29492.070312 -27667.796875 -29174.707031 -24479.195312 -26216.363281 -19091.000000 -17788.761719 -14558.163086 -6109.112305 -680.629211 2685.103760 4142.011230 5571.338867 -2793.541748 2679.376221 -5039.810059 -6600.346680 -4921.756348 -14570.370117 -16145.773438 -18247.603516 -15847.905273 -21273.640625 -16120.375977 -14722.675781 -10852.403320 -7811.512695 -3922.603271
44;1747216887.623710;-41683.074219 -34018.906250 -34715.406250 -37265.679688 -32074.812500 -29775.066406 -27274.878906 -22599.818359 -16296.687500 -8289.346680 -3905.770752 -1186.151855 1721.907471 2835.821777 3774.195312 15822.519531 -6747.356445 -3469.484131 1830.765015 -14387.948242 -7253.596680 -9891.861328 -15211.510742 -18012.890625 -15840.684570 -14207.476562 -11332.738281 -8493.625000 -5531.467773 -2584.970215
45;1747216887.807379;-61673.136719 -30698.060547 -50543.781250 -35604.808594 -36108.468750 -23443.078125 -28206.914062 -21933.695312 -15343.566406 -11909.867188 -3536.586670 915.407898 1999.744507 3657.123047 3839.309082 -4441.248535 633.721375 -5751.887695 -6671.683594 -11969.769531 -14424.089844 -15209.680664 -19497.935547 -18943.085938 -22060.853516 -16119.979492 -11773.919922 -8603.047852 -6232.488770 -2942.059326
46;1747216887.993578;-32157.066406 -19482.046875 -28903.083984 -25297.775391 -24479.742188 -27843.652344 -22663.326172 -20780.142578 -19093.478516 -16419.417969 -8463.786133 -2933.497070 2094.517822 3410.423096 5628.632324 5131.388184 543.051270 -3819.539062 -910.193726 -2778.460693 -10719.324219 -8700.113281 -10371.658203 -15649.584961 -17213.365234 -17458.031250 -15703.164062 -10847.541016 -7123.236816 -3983.782715
47;1747216888.174525;-21718.357422 -19001.429688 -21192.087891 -26796.919922 -28974.607422 -32944.167969 -33416.488281 -33307.410156 -28475.339844 -17232.681641 -16934.203125 -8414.784180 -1055.587280 3007.274170 11065.678711 2805.490479 -5729.813477 754.329285 -6669.964844 -2349.579346 -6466.501465 -6891.237793 -13079.779297 -17191.550781 -17314.398438 -18765.113281 -22779.925781 -21362.544922 -14089.523438 -8066.600586
48;1747216888.363817;36160.582031 -26280.904297 -119852.257812 -268667.187500 -104271.109375 -126265.132812 -76978.695312 -97746.312500 -47036.191406 -12129.457031 -21586.599609 1212.106445 11110.861328 15699.902344 18094.740234 24295.880859 24870.724609 -167803.921875 -10527.843750 9629.041016 -30337.011719 -28603.773438 -117381.007812 -72488.695312 -58952.089844 -60526.660156 -47393.585938 -31006.833984 -17821.966797 -10067.346680
49;1747216888.549083;-162873.125000 -23447.894531 -62300.105469 -95371.992188 -61723.042969 -65853.210938 -72313.906250 -45241.371094 -64028.117188 -43495.585938 -27369.943359 -8869.374023 4842.140137 18262.810547 20446.003906 108309.695312 32130.394531 20794.035156 -8252.315430 -22834.205078 -11458.443359 -17964.882812 -28443.853516 -7765.186523 -60257.476562 -36913.011719 -46590.109375 -35386.921875 -32037.724609 -12161.610352
50;1747216888.741038;0.393746 0.682640 0.855433 -2.424431 2.476352 0.083196 -1.024965 0.784733 -0.503631 -0.525114 0.071017 -0.181250 -0.148104 -0.003283 -0.038733 -1.529919 -1.063674 -0.648369 -1.602396 -1.053036 0.799127 0.955395 -0.235814 -0.160809 0.281433 -0.315118 -0.186587 0.120412 -0.166025 0.107265
51;1747216888.936274;-0.052014 -2.585951 -4.639639 0.125621 1.098166 0.614630 -0.803669 0.809599 -0.475495 -0.493425 0.072423 -0.144042 -0.132945 0.014312 -0.026363 -2.791218 -1.669447 -1.916891 -1.655729 -1.444121 0.560832 0.452847 -0.344042 -0.044314 0.215051 -0.283217 -0.170641 0.099061 -0.121067 0.102518
52;1747216889.116478;-6748.171875 -60201.968750 -122794.968750 -111432.953125 -98122.523438 -97939.710938 -36895.679688 -78357.445312 -61639.750000 -35226.039062 -19061.908203 2219.132812 5158.897461 8070.115723 14828.729492 15927.307617 -8243.590820 121659.617188 -49213.230469 5314.992676 13057.967773 -45896.066406 -100089.164062 -68454.359375 -55664.648438 -55495.597656 -39094.089844 -35377.500000 -22780.978516 -12843.050781
53;1747216889.300130;4590.747559 -30556.730469 -5066.337891 -24190.835938 -11976.403320 -15539.230469 -22320.750000 -16145.392578 -14727.154297 -19409.117188 -15095.204102 -11537.516602 -7679.762207 -1977.099487 7983.021484 -11515.991211 -11129.821289 1953.917725 -9727.440430 -4124.831055 -1330.439087 -4643.481934 -4947.031250 -5847.269043 -10648.842773 -13087.497070 -13015.046875 -16505.203125 -14744.855469 -13928.633789
54;1747216889.485089;-1217.457031 -1346.662109 -3096.385986 -943.223206 -372.167725 -1.023331 792.327271 149.706009 777.238647 -214.056946 -112.224548 400.629669 469.026855 328.679352 589.067932 950.191101 2397.615967 1466.257812 1413.004883 -419.294739 -2071.822510 -1182.101929 -1255.052979 558.780151 -914.014587 -51.498688 -77.511047 -301.744904 -384.555145 -84.878517
55;1747216889.666010;-16525.607422 -24385.453125 -20206.476562 -18965.669922 -18698.482422 -21011.279297 -19109.609375 -20134.927734 -19985.677734 -18301.646484 -17090.808594 -10965.875000 -4161.876465 -1040.519653 9306.870117 -10483.084961 -5967.481934 -2323.204590 -898.520996 -1911.254883 -225.478470 -2717.385010 -5910.866699 -7406.921387 -3758.359131 -12304.443359 -16615.849609 -16447.371094 -14306.743164 -11037.575195
56;1747216889.856422;-5804.038086 -70620.062500 -75931.656250 -68197.710938 -59449.792969 -45714.972656 -45065.792969 -51240.773438 -33503.589844 -51773.175781 -27978.150391 -947.828613 12298.773438 17272.439453 16409.871094 16944.689453 4652.459961 56388.593750 -2827.449707 3949.717041 -32752.837891 -37902.039062 -47917.746094 -51036.746094 -24526.564453 -56181.496094 -37848.882812 -30190.669922 -18295.085938 -11510.155273
57;1747216890.035232;-52065.453125 -531.583557 -24379.306641 -12375.330078 -16920.919922 -15392.715820 -9791.053711 -12600.083008 -12270.359375 -11176.618164 -9755.252930 -8779.754883 -4619.097656 -3707.184814 4508.812500 3749.997559 9748.948242 -5591.429688 4071.055420 1412.087646 -4040.363525 -2186.084473 -3451.064941 -6065.926758 -5358.865723 -8664.359375 -9093.562500 -12371.053711 -15181.161133 -7488.721191
58;1747216890.225655;-2764.543945 3074.422363 -4808.698242 -2397.188721 -1657.390625 -1830.972046 -1574.901855 -2248.726562 -1565.924316 -1959.055176 -1982.738037 -404.456360 290.423828 2053.766846 1419.809204 2731.868896 -2848.843018 1261.150757 1990.260986 -107.275581 -504.698486 213.871002 -368.774109 -984.554504 -946.367126 -3148.606934 -1415.240479 -1703.826050 -1257.880249 -667.509338
59;1747216890.408326;-20336.777344 -23565.347656 -24260.402344 -36356.496094 -36607.132812 -36506.734375 -35993.132812 -32716.398438 -32044.980469 -26795.048828 -21490.380859 -17916.621094 -6158.092285 6254.456543 12693.802734 5237.115723 -22818.908203 2321.174561 -19468.033203 -6496.180176 -9504.134766 -10516.388672 -14524.190430 -14396.312500 -14186.294922 -23706.388672 -26586.492188 -33924.812500 -28388.251953 -12439.302734
60;1747216890.604485;-388.577698 -5149.804199 4179.504883 -3165.283691 -2898.279053 -3884.435791 -3444.281738 -1893.614990 -2080.636719 -2393.883301 -1924.466675 -225.530457 1481.710449 1265.982666 1760.120728 -8972.833984 -2713.277344 -1816.109985 -1631.614136 -127.768127 -507.958588 -506.084045 -1788.653076 -2817.314453 -1543.658203 -1832.971436 -2267.021484 -3104.819092 -1891.987427 -909.685242
61;1747216890.787963;-50.923573 -414.474152 -81.187164 -131.435364 63.708374 -73.554611 -137.996902 19.602320 83.797211 -9.458538 -19.341293 9.521532 8.300361 17.311550 -8.110377 -36.208878 -103.519600 -69.917091 114.749474 139.164291 -115.093391 -172.084366 58.604095 27.508667 52.481064 -56.006905 9.807702 38.251694 15.567385 10.050825
62;1747216890.971668;-26732.091797 -26859.792969 -25424.537109 -28575.097656 -23439.050781 -25737.568359 -25238.570312 -24411.802734 -22888.923828 -26354.666016 -20999.306641 -14883.491211 -6601.211914 -592.012756 14779.927734 4446.616211 -1530.428223 -1076.328125 -3610.087891 -3542.266113 -2891.326172 -3919.601807 -5963.093262 -8742.508789 -18355.705078 -14440.144531 -19596.744141 -23078.392578 -20989.958984 -14510.462891
63;1747216891.150926;-29962.832031 -17030.441406 -26341.181641 -22343.603516 -25923.517578 -24061.484375 -21173.292969 -22712.767578 -19086.855469 -26515.222656 -21740.486328 -15728.259766 -8799.195312 -4065.899414 12512.485352 -1406.988159 1923.643311 -2971.060059 -826.778076 2374.267334 -1298.727539 -6572.397949 -2430.650391 -8061.812988 -14064.921875 -15573.979492 -15638.458984 -19867.634766 -22173.328125 -17241.089844
64;1747216891.340048;12387.836914 -9335.757812 3142.906250 -5726.883789 -6881.078125 -10545.799805 -7207.949707 -5290.847656 -5290.423340 -7897.765625 -2804.132324 -1706.585205 44.770355 2455.123047 3350.600830 -16147.799805 -2915.737305 -4460.222168 -4463.553711 -1060.738403 -121.571579 -1912.906372 -3118.562988 -5203.344727 -8677.294922 -5923.409180 -5593.021973 -5865.584961 -6398.820801 -2226.769043
65;1747216891.526780;-127.954071 -151.633698 -59.877808 -106.223991 -57.757591 13.155411 -194.305832 -162.803574 -42.615051 126.301445 37.909908 10.806918 55.303600 -0.094676 57.401878 7.107244 -9.848016 -59.520718 272.948517 -286.846375 -66.120964 -101.148941 54.865929 206.352432 -208.344940 163.524551 11.885388 55.988033 -0.046139 5.150527
66;1747216891.714273;-1203.128906 -16188.960938 -8737.495117 -12640.809570 -11472.965820 -10352.088867 -14824.848633 -12936.607422 -14404.104492 -10784.245117 -10073.121094 -9099.322266 -4542.572266 -949.521179 5244.593262 650.357117 -8391.289062 1170.746094 -2965.995361 -2004.390747 -1420.356079 -1667.520264 -3520.520752 -4013.458252 -4378.638672 -6515.532227 -8577.304688 -11207.013672 -9981.043945 -7663.478516
