seq;timestamp;data
59;1745751633.077991;0.147782 0.293305 0.455820 0.274844 0.154339 0.159905 0.054687 0.061897 0.044324 0.035541 0.026930 0.019429 0.017804 0.017076 0.015787 0.312876 -0.285154 -0.013104 -0.079153 -0.179691 -0.208710 -0.134329 -0.123487 -0.097801 -0.073374 -0.047839 -0.036102 -0.023448 -0.014915 -0.007953
60;1745751633.279963;1.089098 0.566843 0.250151 0.248067 0.141215 0.146620 0.063591 0.053849 0.043512 0.027698 0.029649 0.020527 0.016503 0.017116 0.016025 1.910417 -0.109225 -0.580781 -0.149424 -0.317153 -0.176175 -0.135859 -0.150739 -0.103745 -0.074489 -0.050548 -0.035689 -0.024535 -0.015465 -0.007536
61;1745751633.469809;-1.607806 0.352462 0.492738 0.282306 0.222558 0.065029 0.061484 0.065116 0.041199 0.032605 0.024891 0.021092 0.018276 0.016561 0.016670 -0.699821 0.036654 -0.080268 -0.149862 -0.214853 -0.218626 -0.171393 -0.121967 -0.099743 -0.070140 -0.051184 -0.034093 -0.023912 -0.014772 -0.007763
62;1745751633.651548;1.812111 0.510676 0.461593 0.278277 0.234677 0.116444 0.089615 0.058114 0.042219 0.037098 0.022851 0.018319 0.017770 0.017106 0.016332 1.416010 -0.115973 -0.817134 -0.388882 -0.352637 -0.246887 -0.188452 -0.131267 -0.099915 -0.067924 -0.048759 -0.034984 -0.023723 -0.015361 -0.007974
63;1745751633.832494;0.601313 0.333305 0.308095 0.439315 0.173913 0.163898 0.066615 0.056303 0.043467 0.038866 0.020469 0.019373 0.018405 0.016958 0.016098 0.148540 -0.893145 -0.161665 -0.285464 -0.200887 -0.257848 -0.117945 -0.137280 -0.094631 -0.066580 -0.052935 -0.034981 -0.023614 -0.014908 -0.007486
64;1745751634.016609;0.035493 0.339480 0.317106 0.279437 0.276641 0.117693 0.063713 0.050930 0.040527 0.039310 0.025337 0.020457 0.016941 0.016889 0.016038 0.215998 -0.241114 -0.132732 -0.220199 -0.299869 -0.197118 -0.133949 -0.125608 -0.097341 -0.074119 -0.050281 -0.037842 -0.024062 -0.015219 -0.008255
65;1745751634.188806;0.571730 0.190731 0.411884 0.297995 0.252790 0.136635 0.064025 0.079581 0.037105 0.025755 0.019472 0.018692 0.018391 0.016883 0.016215 0.996153 -0.433271 0.216566 -0.226641 -0.282605 -0.145974 -0.180469 -0.123613 -0.097790 -0.074383 -0.051089 -0.033282 -0.024235 -0.015330 -0.007703
66;1745751634.380542;0.534282 0.533809 0.291572 0.288921 0.216934 0.104635 0.106386 0.068576 0.040255 0.036789 0.020365 0.019758 0.019021 0.017067 0.016198 -0.402855 -0.088543 -0.190514 -0.038380 -0.163341 -0.219743 -0.153284 -0.117907 -0.101882 -0.071665 -0.049317 -0.033707 -0.023985 -0.014621 -0.007288
67;1745751634.562538;0.569025 0.400967 0.675185 0.245123 0.216961 0.136427 0.054869 0.063832 0.031740 0.030974 0.025499 0.021669 0.017987 0.016782 0.015816 -0.112527 -0.099951 -0.105356 -0.228162 -0.214274 -0.255421 -0.225905 -0.126998 -0.097966 -0.065744 -0.049379 -0.034648 -0.023322 -0.014586 -0.007331
68;1745751634.746683;-0.411279 0.407020 0.699852 0.286905 0.123147 0.081426 0.100451 0.058168 0.045739 0.036420 0.023303 0.020695 0.018108 0.017195 0.016868 -0.166436 0.091892 -0.648930 -0.199663 -0.238676 -0.225773 -0.140071 -0.129575 -0.094157 -0.068210 -0.050358 -0.036097 -0.023697 -0.015109 -0.008636
